filename,label
Session_001/capture_0000.png,colocarPila
Session_001/capture_0001.png,colocarPila
Session_001/capture_0002.png,colocarPila
Session_001/capture_0003.png,colocarPila
Session_001/capture_0004.png,colocarPila
Session_001/capture_0005.png,colocarPila
Session_001/capture_0006.png,colocarPila
Session_001/capture_0007.png,colocarPila
Session_001/capture_0008.png,colocarPila
Session_001/capture_0009.png,colocarPila
Session_001/capture_0010.png,colocarPila
Session_001/capture_0011.png,colocarPila
Session_001/capture_0012.png,colocarPila
Session_001/capture_0013.png,colocarPila
Session_001/capture_0014.png,colocarPila
Session_001/capture_0015.png,colocarPila
Session_001/capture_0016.png,colocarPila
Session_001/capture_0017.png,colocarPila
Session_001/capture_0018.png,colocarPila
Session_001/capture_0019.png,colocarPila
Session_001/capture_0020.png,colocarPila
Session_001/capture_0021.png,colocarPila
Session_001/capture_0022.png,colocarPila
Session_001/capture_0023.png,colocarPila
Session_001/capture_0024.png,colocarPila
Session_001/capture_0025.png,colocarPila
Session_001/capture_0026.png,colocarPila
Session_001/capture_0027.png,colocarPila
Session_001/capture_0028.png,colocarPila
Session_001/capture_0029.png,colocarPila
Session_001/capture_0030.png,colocarPila
Session_001/capture_0031.png,colocarPila
Session_001/capture_0032.png,colocarPila
Session_001/capture_0033.png,colocarPila
Session_001/capture_0034.png,colocarPila
Session_001/capture_0035.png,colocarPila
Session_001/capture_0036.png,colocarPila
Session_001/capture_0037.png,colocarPila
Session_001/capture_0038.png,colocarPila
Session_001/capture_0039.png,colocarPila
Session_001/capture_0040.png,colocarPila
Session_001/capture_0041.png,colocarPila
Session_001/capture_0042.png,colocarPila
Session_001/capture_0043.png,colocarPila
Session_001/capture_0044.png,colocarPila
Session_001/capture_0045.png,colocarPila
Session_001/capture_0046.png,colocarPila
Session_001/capture_0047.png,colocarPila
Session_001/capture_0048.png,colocarPila
Session_001/capture_0049.png,colocarPila
Session_001/capture_0050.png,colocarPila
Session_001/capture_0051.png,colocarPila
